Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
045975.png;True;116;0,79;8094,43;0,45
045977.png;True;167;0,78;8096,69;0,63
045984.png;True;587;0,78;8059,18;2,19
045987.png;True;237;0,78;8184,92;0,88
045998.png;True;440;0,78;8077,13;1,63
045999.png;True;121;0,79;8118,72;0,47
046003.png;True;230;0,79;8115,53;0,89
046004.png;True;441;0,78;8121,56;1,66
046012.png;True;158;0,79;8123,08;0,64
046016.png;True;158;0,79;8124,69;0,61
046020.png;True;2331;0,78;8102,39;8,53
046023.png;True;227;0,79;8149,88;0,87
046024.png;True;441;0,82;8131,68;1,64
046029.png;True;230;0,78;8095,1;0,88
046030.png;True;235;0,78;8108,01;0,88
046033.png;True;221;0,78;8164,66;0,85
046044.png;True;154;0,8;8391,81;0,63
046047.png;True;142;0,85;9369,61;0,58
046049.png;True;1067;1,09;8757,59;3,91
046057.png;True;673;0,96;8646,26;2,53
046062.png;True;155;0,8;8194,58;0,59
046063.png;True;157;0,79;8127,32;0,61
046064.png;True;532;0,79;8127,19;1,98
046066.png;True;136;0,79;8121,68;0,52
046067.png;True;237;0,79;8106,72;0,92
046068.png;True;154;0,79;8140,47;0,6
046069.png;True;191;0,79;8174,26;0,72
046070.png;True;230;0,8;8102,0;0,87
046071.png;True;154;0,79;8178,83;0,59
046072.png;True;154;0,79;8118,88;0,6
046073.png;True;186;0,79;8100,53;0,72
046075.png;True;157;0,78;8094,62;0,61
046078.png;True;136;0,9;8114,53;0,52
046079.png;True;154;0,79;8172,82;0,58
046080.png;True;154;0,81;8096,45;0,59
046082.png;True;443;0,78;8091,12;1,63
046083.png;True;151;0,78;8130,97;0,59
046085.png;True;154;0,77;8084,7;0,6
046087.png;True;228;0,79;8089,5;0,87
046089.png;True;223;0,8;8076,37;0,84
046092.png;True;155;0,79;8172,75;0,6
046096.png;True;252;0,8;8083,67;1,0
