Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
046593.png;True;155;17,11;0,95;0,0
046595.png;True;126;16,99;0,74;0,0
046596.png;True;445;17,24;1,91;0,0
046597.png;True;338;16,52;1,59;0,0
046598.png;True;154;16,79;0,94;0,0
046599.png;True;120;17,03;0,72;0,0
046600.png;True;154;16,51;0,93;0,0
046601.png;True;126;16,84;0,75;0,0
046602.png;True;392;16,7;1,63;0,0
046603.png;True;154;16,58;0,94;0,0
046604.png;True;234;16,68;1,24;0,0
046605.png;True;154;16,56;0,94;0,0
046606.png;True;154;16,8;0,95;0,0
046607.png;True;186;17,13;1,01;0,0
046608.png;True;583;16,97;2,34;0,0
046609.png;True;155;16,55;0,93;0,0
046610.png;True;122;16,65;0,72;0,0
046611.png;True;139;17,45;0,93;0,0
046612.png;True;120;16,63;0,72;0,0
046613.png;True;150;16,54;0,94;0,0
046614.png;True;154;16,61;0,95;0,0
046615.png;True;142;16,52;0,92;0,0
046616.png;True;155;17,2;0,94;0,0
046617.png;True;154;17,95;0,94;0,0
046618.png;True;123;16,98;0,74;0,0
046619.png;True;234;17,11;1,21;0,0
046620.png;True;154;16,86;0,95;0,0
046621.png;True;154;16,64;0,95;0,0
046622.png;True;157;16,62;0,94;0,0
046623.png;True;226;16,57;1,16;0,0
046626.png;True;444;16,62;1,86;0,0
046627.png;True;673;16,67;2,75;0,0
046628.png;True;167;16,52;0,94;0,0
046631.png;True;228;16,54;1,16;0,0
046637.png;True;128;16,66;0,72;0,0
046639.png;True;155;17,93;0,94;0,0
046640.png;True;178;16,95;0,96;0,0
046641.png;True;155;17,09;0,96;0,0
046642.png;True;162;16,63;0,95;0,0
046644.png;True;137;16,72;0,96;0,0
046645.png;True;154;16,49;0,93;0,0
046646.png;True;228;16,77;1,25;0,0
046647.png;True;150;16,7;0,95;0,0
046648.png;True;157;16,72;0,94;0,0
046649.png;True;155;16,68;0,94;0,0
046650.png;True;121;16,75;0,77;0,0
046651.png;True;154;17,84;0,94;0,0
046652.png;True;154;16,86;0,97;0,0
046653.png;True;155;16,82;0,95;0,0
046655.png;True;157;16,98;0,96;0,0
046656.png;True;228;16,5;1,18;0,0
046657.png;True;158;16,54;0,94;0,0
046658.png;True;441;16,82;1,83;0,0
046659.png;True;146;16,79;1,32;0,0
046660.png;True;121;16,72;0,74;0,0
046661.png;True;154;16,63;0,93;0,0
046662.png;True;154;16,55;0,93;0,0
046664.png;True;237;16,57;1,17;0,0
046665.png;True;147;16,77;0,99;0,0
046666.png;True;473;17,01;2,11;0,0
046667.png;True;157;16,93;0,97;0,0
046668.png;True;126;16,72;0,72;0,0
046669.png;True;155;16,61;0,93;0,0
046670.png;True;135;16,54;0,92;0,0
046671.png;True;162;16,51;0,93;0,0
046672.png;True;158;16,71;0,94;0,0
046673.png;True;154;16,78;1,0;0,0
046674.png;True;122;16,59;0,72;0,0
046675.png;True;154;17,4;0,95;0,0
046676.png;True;155;18,52;0,96;0,0
046677.png;True;157;16,79;0,95;0,0
046678.png;True;670;17,2;2,6;0,0
046679.png;True;154;17,01;0,94;0,0
046680.png;True;154;16,5;0,93;0,0
046681.png;True;154;16,68;0,94;0,0
